"Year","Make","Model","HorsePower","Price","ConsumerRating","ConsumerReviews","SellerType","SellerName","SellerRating","SellerReviews","StreetName","State","Zipcode","DealType","ComfortRating","InteriorDesignRating","PerformanceRating","ValueForMoneyRating","ExteriorStylingRating","ReliabilityRating","Color","InteriorColor","Drivetrain","MinMPG","MaxMPG","FuelType","Transmission","Engine","Engine Capacity(L)","Cylinder","VIN","Stock#","Mileage","bodyType","numberOfDoors"
"2016","BMW","435 Gran Coupe i xDrive","241","30995","4.8","16","Dealer","Painless Autos","5","7","13285 NE 20th Street Bellevue","WA","98005","Good","4.6","4.9","4.9","4.4","5","5","White","Coral Red / Black","All-wheel Drive","20","30","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","WBA4B3C58GG344713","61777494","65219","Sedan","4"
"2016","BMW","435 Gran Coupe i xDrive","241","30995","4.8","16","Dealer","Painless Autos","5","7","13285 NE 20th Street Bellevue","WA","98005","Fair","4.6","4.9","4.9","4.4","5","5","Gray","Black","All-wheel Drive","20","30","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","WBA4B3C57GG527875","61708777","63055","Sedan","4"
"2014","BMW","428 i","245","27741","4.8","61","Dealer","Accelerate Auto Group","4.3","6","5201 Grisham Dr Rowlett","TX","75088","Fair","4.7","4.7","4.9","4.5","4.9","4.7","Glacier Silver Metallic","Black","Rear-wheel Drive","23","34","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","WBA3V7C51EP770606","STK770606","48531","Coupe","2"
"2017","BMW","M240 i","387","33900","4.7","20","Dealer","Marietta Auto Sales","4.3","1245","1666 Roswell Rd Marietta","GA","30062","Great","4.5","4.4","4.9","4.5","4.8","4.8","Alpine White","Oyster/Black","Rear-wheel Drive","21","32","Gasoline","8-SPEED A/T","Straight 6 Cylinder Engine","3","6","WBA2G1C37HV639150","HV639150","60733","Coupe","2"
"2020","BMW","X1 xDrive28i","231","32893","4.8","13","Dealer","North Coast Auto Mall of Bedford","4.6","2411","333 Broadway Ave Bedford","OH","44146","Good","4.7","4.9","5","4.7","4.8","4.9","Alpine White","Black","All-wheel Drive","23","31","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","WBXJG9C08L5P94224","P94224C01","39879","SUV","4"
"2020","BMW","X1 xDrive28i","231","30693","4.8","13","Dealer","North Coast Auto Mall of Bedford","4.6","2411","333 Broadway Ave Bedford","OH","44146","Good","4.7","4.9","5","4.7","4.8","4.9","Jet Black","Black","All-wheel Drive","23","31","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","WBXJG9C07L5P88611","P88611C01","50199","SUV","4"
"2019","BMW","Z4 sDrive30i","197","46500","5","2","Dealer","BMW of Sterling","4.5","1031","21710 Auto World Cir Sterling","VA","20166","Good","5","5","5","5","5","5","Metallic","Ivory White","Rear-wheel Drive","25","32","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","WBAHF3C57KWW34090","KWW34090P","23504","Roadster","2"
"2018","BMW","320 i xDrive","184","2595","4.9","50","Dealer","CarShop Glen Mills","4.9","95","1021 Baltimore Pike Glen Mills","PA","19342","Fair","4.9","4.8","4.9","4.8","4.8","5","Black Sapphire","Charcoal","All-wheel Drive","23","34","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","WBA8A3C55JA505632","F08304","55001","Hatchback","4"
"2012","BMW","X5 xDrive35i Premium","306","12499","4.5","87","Dealer","Prestige Imports Auto Sales","3.7","54","654 W Bridge St Morrisville","PA","19067","NA","4.6","4.7","4.7","4.2","4.7","4.1","Black","Brown","All-wheel Drive","16","23","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXZV4C51CL989967","989967","75012","SUV","4"
"2020","BMW","X3 M40i","360","49995","4.9","51","Dealer","Automotive Avenues","4.7","1472","5011 Route 33/34 Wall Township","NJ","7727","Good","5","4.9","4.9","4.7","4.9","4.9","Phytonic Blue Metallic","Cognac","All-wheel Drive","21","27","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXTY9C05L9B66571","35260","11970","SUV","4"
