"Price","Year","Model","HorsePower","ConsumerRating","SellerRating","Color","Drivetrain","FuelRate","FuelType","Transmission","Engine Capacity(L)","Cylinder","Mileage","bodyType","numberOfDoors"
"2789550","2016","435 Gran Coupe i xDrive","241","4.8","5","White","All-wheel Drive","30","Gasoline","8-Speed Automatic","3","6","65219","Sedan","4"
"2789550","2016","435 Gran Coupe i xDrive","241","4.8","5","Gray","All-wheel Drive","30","Gasoline","8-Speed Automatic","3","6","63055","Sedan","4"
"2496690","2014","428 i","245","4.8","4.3","Glacier Silver Metallic","Rear-wheel Drive","34","Gasoline","8-Speed Automatic","2","4","48531","Coupe","2"
"3051000","2017","M240 i","387","4.7","4.3","Alpine White","Rear-wheel Drive","32","Gasoline","8-SPEED A/T","3","6","60733","Coupe","2"
"2960370","2020","X1 xDrive28i","231","4.8","4.6","Alpine White","All-wheel Drive","31","Gasoline","8-Speed Automatic","2","4","39879","SUV","4"
"2762370","2020","X1 xDrive28i","231","4.8","4.6","Jet Black","All-wheel Drive","31","Gasoline","8-Speed Automatic","2","4","50199","SUV","4"
"4185000","2019","Z4 sDrive30i","197","5","4.5","Metallic","Rear-wheel Drive","32","Gasoline","8-Speed Automatic","2","4","23504","Roadster","2"
"233550","2018","320 i xDrive","184","4.9","4.9","Black Sapphire","All-wheel Drive","34","Gasoline","8-Speed Automatic","2","4","55001","Hatchback","4"
"1124910","2012","X5 xDrive35i Premium","306","4.5","3.7","Black","All-wheel Drive","23","Gasoline","8-Speed Automatic","3","6","75012","SUV","4"
"4499550","2020","X3 M40i","360","4.9","4.7","Phytonic Blue Metallic","All-wheel Drive","27","Gasoline","8-Speed Automatic","3","6","11970","SUV","4"
"2427750","2018","430 Gran Coupe i xDrive","249","4.9","3.1","Gray","All-wheel Drive","33","Gasoline","8-Speed Automatic","2","4","39474","Sedan","4"
"2337750","2018","430 Gran Coupe i xDrive","249","4.9","3.1","Gray","All-wheel Drive","33","Gasoline","8-Speed Automatic","2","4","42899","Sedan","4"
"2699550","2018","430 Gran Coupe i xDrive","249","4.9","4.8","Blue","All-wheel Drive","33","Gasoline","8-Speed Automatic","2","4","45266","Sedan","4"
"4302450","2019","540 i xDrive","340","4.9","4.4","Dark Graphite Metallic","All-wheel Drive","29","Gasoline","8-Speed Automatic","3","6","26042","Sedan","4"
"6389640","2018","X5 M Base","625","4.8","4.6","Carbon Black Metallic","All-wheel Drive","19","Gasoline","8-Speed Automatic","4.4","8","33757","SUV","4"
"1430910","2015","328 i","230","4.7","3.4","White","Rear-wheel Drive","35","Gasoline","8-Speed Automatic","2","4","48478","Sedan","4"
"206550","2018","320 320i xDrive","184","4.9","5","Black Sapphire Metallic","All-wheel Drive","34","Gasoline","Automatic","2","4","31948","Sedan","4"
"206100","2002","540 i","340","4.6","5","Green","Rear-wheel Drive","23","Gasoline","6-Speed M/T","4.4","8","81467","Sedan","4"
"2248650","2018","320 i xDrive","184","4.9","2","Black","All-wheel Drive","34","Gasoline","8-Speed Automatic","2","4","65946","Hatchback","4"
"5027670","2017","M3 Base","473","4.7","3.4","Gray","Rear-wheel Drive","26","Gasoline","7-Speed Automatic with Auto-Shift","3","6","19847","Sedan","2"
"318600","2019","X3 sDrive30i","249","4.7","4.4","Phytonic Blue Metallic","Rear-wheel Drive","30","Gasoline","8-Speed Automatic","2","4","34565","Crossover","4"
"2879550","2019","X3 sDrive30i","249","4.7","3.7","Jet Black","Rear-wheel Drive","30","Gasoline","8-Speed Automatic","2","4","57583","Crossover","4"
"4949820","2019","X5 xDrive40i","340","4.7","4.7","White","All-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","14950","SUV","4"
"5031090","2020","X5 sDrive40i","340","4.7","4.7","Jet Black","Rear-wheel Drive","26","Gasoline","8-Speed Automatic","3","6","31831","Crossover","4"
"697320","2019","M850 i xDrive","530","5","4.3","Carbon Black Metallic","All-wheel Drive","25","Gasoline","8-Speed Automatic","4.4","8","34021","Coupe","2"
"3556890","2019","330 i xDrive","258","4.9","4.8","Jet Black","All-wheel Drive","34","Gasoline","8-Speed Automatic","2","4","39669","Sedan","4"
