iter	MAPE	RMSE	R2	MAE
0	0.06414620034	0.8482312901	0.05417593124	0.6088080197
1	0.0625362951	0.8286831223	0.09726813833	0.5922695835
2	0.06100751778	0.8124220633	0.1323487396	0.5773930226
3	0.06042115438	0.8051651803	0.1477799365	0.5717600264
4	0.05953386734	0.7968215871	0.1653508295	0.562952226
5	0.05888822845	0.7905513367	0.1784349832	0.5565878584
6	0.05792912831	0.7817934929	0.196536992	0.5471505343
7	0.05772969702	0.7777708888	0.2047839236	0.5453048653
8	0.0569850411	0.7699956456	0.2206037317	0.5383108539
9	0.05671227452	0.7668921049	0.2268739317	0.5357970607
10	0.05649678759	0.7634449616	0.2338086402	0.5338794185
11	0.05627324162	0.7599671645	0.2407733565	0.5318506615
12	0.05562349231	0.7529712988	0.2546871167	0.5257121405
13	0.05545540695	0.7509957294	0.2585929382	0.5241615284
14	0.05449971931	0.7393697498	0.2813703367	0.5152197064
15	0.05374440027	0.7324639409	0.2947318326	0.5080978583
16	0.05319682076	0.727996135	0.3033094322	0.5029445067
17	0.05288538486	0.7260679995	0.3069949873	0.5000542253
18	0.05249464358	0.7223574468	0.3140600582	0.4964797073
19	0.05212617489	0.7173821175	0.3234765158	0.4929189284
20	0.05202467592	0.7160682358	0.3259523452	0.4919704121
21	0.05177095244	0.713360374	0.3310406222	0.4895585058
22	0.05175293286	0.7132545927	0.331239002	0.4893813422
23	0.05133260738	0.707655117	0.3416981337	0.4853703601
24	0.05094449958	0.7040238871	0.3484367617	0.481686482
25	0.0503045828	0.6966004474	0.3621048772	0.4754227844
26	0.0497573655	0.6915607521	0.3713014488	0.4702551631
27	0.04951852103	0.6889542278	0.3760317054	0.4680807615
28	0.04922867814	0.6867341614	0.3800465413	0.4653569699
29	0.04881732523	0.6813658915	0.3897011348	0.4615489199
30	0.04883485207	0.6801455218	0.3918853453	0.4619793082
31	0.04879488627	0.6798843363	0.3923523047	0.4616369282
32	0.04862638285	0.6784779221	0.3948636745	0.4599068761
33	0.04852015613	0.6776808405	0.3962846777	0.458829637
34	0.04821191208	0.6751304869	0.4008201176	0.4557885793
35	0.04807052602	0.6730320663	0.4045390355	0.4545881229
36	0.04795852878	0.6716130739	0.4070472781	0.453640492
37	0.04780327211	0.6701647073	0.4096019837	0.4521197572
38	0.04769933524	0.6685124395	0.4125096067	0.4512518344
39	0.04750346535	0.6645721505	0.4194146684	0.449328445
40	0.04725215906	0.6607799522	0.4260216651	0.4471372504
41	0.04717840389	0.6590716549	0.4289856115	0.4466005568
42	0.04691758874	0.6566320916	0.433205024	0.4441348909
43	0.04689455025	0.6565566355	0.4333352818	0.4439021654
44	0.04685632656	0.6556213693	0.4349485619	0.4436060053
45	0.04667655656	0.6519753523	0.4412157725	0.4419937031
46	0.04648148958	0.6498426759	0.4448654714	0.440161776
47	0.04632291793	0.6477935114	0.4483609895	0.4387618286
48	0.04604362641	0.6439312582	0.4549193081	0.4362375464
49	0.04563877247	0.640519758	0.4606796032	0.4323690089
