iter	Passed	Remaining
0	43	2131
1	89	2148
2	131	2058
3	171	1971
4	212	1916
5	252	1852
6	292	1798
7	334	1754
8	374	1704
9	414	1657
10	456	1619
11	498	1577
12	538	1532
13	583	1500
14	627	1463
15	671	1426
16	713	1385
17	754	1341
18	797	1300
19	840	1261
20	882	1218
21	926	1178
22	946	1111
23	987	1069
24	1028	1028
25	1071	989
26	1112	947
27	1165	915
28	1212	877
29	1257	838
30	1297	795
31	1339	753
32	1384	713
33	1429	672
34	1470	630
35	1511	587
36	1553	545
37	1593	503
38	1634	461
39	1678	419
40	1721	377
41	1762	335
42	1803	293
43	1845	251
44	1886	209
45	1929	167
46	1969	125
47	2010	83
48	2055	41
49	2096	0
